Player,Span,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,4,5,Ct,St
,,,,,,,,,,,,,,,
P Amarnath,2008-2008,6,6,22.0,0,236,7,2/29,33.71,10.72,18.8,0,0,2,0
S Anirudha,2008-2013,19,-,-,-,-,-,-,-,-,-,-,-,11,0
KB Arun Karthik,2010-2010,1,-,-,-,-,-,-,-,-,-,-,-,0,0
R Ashwin,2009-2015,97,94,337.4,4,2180,90,3/16,24.22,6.45,22.5,0,0,20,0
KM Asif,2018-2018,2,2,6.0,0,75,3,2/43,25.00,12.50,12.0,0,0,0,0
S Badree,2014-2014,4,4,14.0,0,97,2,1/19,48.50,6.92,42.0,0,0,0,0
S Badrinath,2008-2013,95,-,-,-,-,-,-,-,-,-,-,-,16,0
GJ Bailey,2009-2010,4,-,-,-,-,-,-,-,-,-,-,-,0,0
L Balaji,2008-2010,29,29,93.4,0,809,31,5/24,26.09,8.63,18.1,1,1,5,0
SW Billings,2018-2018,10,-,-,-,-,-,-,-,-,-,-,-,5,0
DE Bollinger,2010-2012,27,27,96.0,3,693,37,4/13,18.72,7.21,15.5,1,0,8,0
DJ Bravo,2011-2018,77,74,246.0,1,2075,93,4/42,22.31,8.43,15.8,1,0,48,0
DL Chahar,2018-2018,12,12,38.1,1,278,10,3/15,27.80,7.28,22.9,0,0,1,0
MS Dhoni,2008-2018,145,-,-,-,-,-,-,-,-,-,-,-,69,26
F du Plessis,2012-2018,51,1,1.0,0,16,0,-,-,16.00,-,0,0,26,0
SP Fleming,2008-2008,10,-,-,-,-,-,-,-,-,-,-,-,2,0
A Flintoff,2009-2009,3,3,11.0,0,105,2,1/11,52.50,9.54,33.0,0,0,4,0
C Ganapathy,2010-2010,1,1,1.0,0,13,0,-,-,13.00,-,0,0,0,0
MS Gony,2008-2010,26,26,85.0,3,707,23,3/34,30.73,8.31,22.1,0,0,5,0
Harbhajan Singh,2018-2018,13,12,31.5,0,270,7,2/22,38.57,8.48,27.2,0,0,4,0
JW Hastings,2014-2014,1,1,3.0,0,29,1,1/29,29.00,9.66,18.0,0,0,0,0
ML Hayden,2008-2010,32,-,-,-,-,-,-,-,-,-,-,-,11,0
BW Hilfenhaus,2012-2014,17,17,62.0,2,479,22,3/27,21.77,7.72,16.9,0,0,1,0
JO Holder,2013-2013,6,6,20.0,0,168,2,2/20,84.00,8.40,60.0,0,0,3,0
DJ Hussey,2014-2014,5,1,2.5,0,38,2,2/38,19.00,13.41,8.5,0,0,1,0
MEK Hussey,2008-2015,50,-,-,-,-,-,-,-,-,-,-,-,23,0
Imran Tahir,2018-2018,6,6,20.4,0,188,6,2/34,31.33,9.09,20.6,0,0,2,0
RA Jadeja,2012-2018,86,74,216.1,0,1672,66,5/16,25.33,7.73,19.6,3,1,36,0
KM Jadhav,2018-2018,1,-,-,-,-,-,-,-,-,-,-,-,0,0
SB Jakati,2009-2012,50,48,152.1,1,1180,45,4/22,26.22,7.75,20.2,2,0,17,0
Joginder Sharma,2008-2011,16,15,42.4,0,419,12,2/27,34.91,9.82,21.3,0,0,5,0
S Randiv,2011-2011,8,8,29.0,0,223,6,2/24,37.16,7.68,29.0,0,0,2,0
CK Kapugedera,2008-2008,5,3,2.5,0,49,0,-,-,17.29,-,0,0,4,0
JM Kemp,2010-2010,5,5,7.2,0,54,3,3/12,18.00,7.36,14.6,0,0,1,0
KMDN Kulasekara,2011-2012,6,5,17.0,0,120,5,2/10,24.00,7.05,20.4,0,0,4,0
B Laughlin,2013-2013,2,2,7.0,0,71,1,1/25,71.00,10.14,42.0,0,0,0,0
BB McCullum,2014-2015,28,-,-,-,-,-,-,-,-,-,-,-,8,0
VY Mahesh,2012-2012,5,4,9.2,0,81,3,2/21,27.00,8.67,18.6,0,0,1,0
M Manhas,2014-2014,12,-,-,-,-,-,-,-,-,-,-,-,3,0
RG More,2015-2015,2,2,5.5,0,59,1,1/31,59.00,10.11,35.0,0,0,1,0
JA Morkel,2008-2013,78,75,254.1,3,2058,76,4/32,27.07,8.09,20.0,1,0,15,0
CH Morris,2013-2013,16,16,50.0,0,401,15,3/40,26.73,8.02,20.0,0,0,5,0
A Mukund,2008-2008,2,-,-,-,-,-,-,-,-,-,-,-,3,0
M Muralitharan,2008-2010,40,40,156.0,1,994,40,3/11,24.85,6.37,23.4,0,0,11,0
DP Nannes,2013-2013,5,5,19.5,0,158,4,2/17,39.50,7.96,29.7,0,0,3,0
P Negi,2014-2015,12,12,37.0,0,327,6,2/25,54.50,8.83,37.0,0,0,5,0
A Nehra,2014-2015,20,20,77.0,0,591,30,4/10,19.70,7.67,15.4,1,0,3,0
L Ngidi,2018-2018,7,7,26.0,2,156,11,4/10,14.18,6.00,14.1,1,0,1,0
M Ntini,2008-2008,9,9,35.0,2,242,7,4/21,34.57,6.91,30.0,1,0,1,0
JDP Oram,2008-2009,15,11,31.3,0,282,8,3/32,35.25,8.95,23.6,0,0,8,0
IC Pandey,2014-2015,23,22,73.0,4,541,17,2/23,31.82,7.41,25.7,0,0,6,0
PA Patel,2008-2010,26,-,-,-,-,-,-,-,-,-,-,-,9,2
NLTC Perera,2010-2010,1,1,1.0,0,19,0,-,-,19.00,-,0,0,0,0
SK Raina,2008-2018,147,58,128.2,0,928,24,2/0,38.66,7.23,32.0,0,0,84,0
AS Rajpoot,2013-2013,2,2,4.0,0,35,1,1/25,35.00,8.75,24.0,0,0,0,0
AT Rayudu,2018-2018,16,-,-,-,-,-,-,-,-,-,-,-,2,0
WP Saha,2011-2013,14,-,-,-,-,-,-,-,-,-,-,-,2,0
V Shankar,2014-2014,1,1,1.0,0,19,0,-,-,19.00,-,0,0,0,0
KV Sharma,2018-2018,6,5,9.3,0,89,4,2/13,22.25,9.36,14.2,0,0,3,0
MM Sharma,2013-2015,47,47,161.3,0,1259,57,4/14,22.08,7.79,17.0,1,0,10,0
DR Shorey,2018-2018,1,-,-,-,-,-,-,-,-,-,-,-,0,0
DR Smith,2014-2015,32,6,12.0,0,112,5,1/11,22.40,9.33,14.4,0,0,14,0
TG Southee,2011-2011,5,5,19.0,0,166,4,1/30,41.50,8.73,28.5,0,0,0,0
SB Styris,2011-2011,2,1,1.0,0,13,0,-,-,13.00,-,0,0,1,0
SN Thakur,2018-2018,13,13,46.4,1,431,16,2/18,26.93,9.23,17.5,0,0,4,0
T Thushara,2009-2010,6,6,22.3,0,161,8,2/16,20.12,7.15,16.8,0,0,3,0
S Tyagi,2009-2010,14,14,34.5,0,295,6,2/18,49.16,8.46,34.8,0,0,3,0
S Vidyut,2008-2008,9,1,2.0,0,22,1,1/22,22.00,11.00,12.0,0,0,1,0
M Vijay,2009-2018,65,-,-,-,-,-,-,-,-,-,-,-,32,0
SR Watson,2018-2018,15,11,28.0,0,251,6,2/29,41.83,8.96,28.0,0,0,3,0
DJ Willey,2018-2018,3,3,10.0,0,95,2,1/24,47.50,9.50,30.0,0,0,2,0
MA Wood,2018-2018,1,1,4.0,0,49,0,-,-,12.25,-,0,0,1,0
